Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 65.0.3325.162,,2018-03-19 03:48:04,2018-03-19 03:48:26,22.285s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 65.0.3325.162,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-03-19 03:48:05,2018-03-19 03:48:18,13.416s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:05,2018-03-19 03:48:05,0.054s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:05,2018-03-19 03:48:05,0.002s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 03:48:05,2018-03-19 03:48:15,9.665s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 03:48:15,2018-03-19 03:48:15,0.441s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 03:48:15,2018-03-19 03:48:16,0.505s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-19 03:48:16,2018-03-19 03:48:16,0.577s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:16,2018-03-19 03:48:16,0.001s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 03:48:16,2018-03-19 03:48:17,0.282s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:17,2018-03-19 03:48:17,0.001s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 65.0.3325.162,,2018-03-19 03:48:17,2018-03-19 03:48:17,0.316s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-19 03:48:17,2018-03-19 03:48:18,1.045s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 65.0.3325.162,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-03-19 03:48:18,2018-03-19 03:48:26,8.275s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:18,2018-03-19 03:48:18,0.001s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:18,2018-03-19 03:48:18,0.000s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-19 03:48:18,2018-03-19 03:48:21,3.098s,PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-19 03:48:21,2018-03-19 03:48:23,1.917s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:23,2018-03-19 03:48:23,0.000s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-19 03:48:23,2018-03-19 03:48:25,1.452s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:25,2018-03-19 03:48:25,0.000s,PASSED
click,Chrome 65.0.3325.162,,2018-03-19 03:48:25,2018-03-19 03:48:25,0.256s,PASSED
verifyTextPresent,Chrome 65.0.3325.162,,2018-03-19 03:48:25,2018-03-19 03:48:25,0.195s,PASSED
comment,Chrome 65.0.3325.162,,2018-03-19 03:48:25,2018-03-19 03:48:25,0.009s,PASSED
Statement - If (true),Chrome 65.0.3325.162,,2018-03-19 03:48:25,2018-03-19 03:48:25,0.354s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-19 03:48:25,2018-03-19 03:48:26,0.761s,PASSED
